#deltat w1 w2 w3 s1 s2 s3
1.23 -1.98459 1.26468 2.0568 7.41917 14.2097 16.6489
1.24 -1.95809 1.26305 2.13084 7.46457 14.2164 16.9108
1.25 -1.90078 1.43805 1.90274 7.55665 14.7346 16.1696
1.26 -1.78726 1.41018 2.12393 7.73637 14.6644 16.9145
1.27 -1.83951 1.49262 1.90588 7.66207 14.9201 16.2057
1.28 -2.07361 1.52629 1.82122 7.31746 15.0329 15.9463
1.29 -1.99395 1.54286 1.81636 7.44093 15.0949 15.9436
1.3 -2.16071 1.37049 1.79659 7.20261 14.5951 15.8934
1.31 -2.18665 1.40695 1.81025 7.17107 14.7137 15.9496
1.32 -2.21917 1.41926 1.92441 7.13029 14.7617 16.331
1.33 -2.1343 1.56243 1.85318 7.25815 15.2027 16.1129
1.34 -1.98163 1.55286 1.84358 7.48918 15.1857 16.0949
1.35 -2.08085 1.54749 1.92524 7.3479 15.1816 16.373
1.36 -2.09793 1.51712 1.96392 7.32871 15.1017 16.5134
1.37 -2.14525 1.55935 1.96264 7.26548 15.242 16.5223
1.38 -2.07787 1.61251 2.07145 7.36995 15.4172 16.8994
1.39 -2.03244 1.62715 2.05661 7.44317 15.4748 16.8628
1.4 -1.91603 1.65362 1.95553 7.6246 15.5694 16.5385
1.41 -1.93238 1.62603 1.89363 7.60579 15.4961 16.3481
1.42 -2.02434 1.60045 1.90283 7.47316 15.4294 16.3913
1.43 -1.9425 1.70479 1.71992 7.60257 15.7674 15.8152
1.44 -1.99685 1.64927 1.74473 7.52638 15.6057 15.9066
1.45 -1.90873 1.5801 1.9356 7.66634 15.4037 16.5387
1.46 -1.78918 1.75314 1.84204 7.85813 15.9588 16.2451
1.47 -1.75139 1.73912 1.7537 7.92409 15.9269 15.9734
1.48 -1.59454 1.65797 2.00209 8.18314 15.683 16.8004
1.49 -1.7142 1.72829 1.90163 7.99603 15.9179 16.4794
1.5 -1.89769 1.65614 1.84685 7.71408 15.7024 16.3129
1.51 -2.01475 1.89977 1.76792 7.54161 16.4997 16.0702
1.52 -1.90932 1.93546 1.88215 7.70848 16.6311 16.4548
1.53 -1.83607 1.88041 1.71882 7.82849 16.4622 15.9387
1.54 -1.93939 1.95851 1.59799 7.67453 16.7347 15.5706
1.55 -1.87745 1.92937 1.60888 7.77641 16.6508 15.617
1.56 -1.78193 1.92478 1.55217 7.93275 16.6488 15.4533
1.57 -1.82908 1.94196 1.50453 7.86458 16.7195 15.319
1.58 -1.90692 1.86675 1.40668 7.74928 16.4831 15.0341
1.59 -1.79023 1.75353 1.46282 7.93862 16.1269 15.216
1.6 -1.75777 1.88174 1.47567 7.99672 16.559 15.2674
1.61 -1.6648 1.91927 1.47382 8.15332 16.6972 15.274
1.62 -1.65226 1.8806 1.55112 8.18033 16.5818 15.5244
